track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
3QR92iEfcnqgVFsOr2pCGz,0.491,0.412,0.802,0.0,0.487,105.076,2,Upbeat Happy Songs
3EQrkdolSzhmCs3ZEk5PYS,0.491,0.549,0.46,0.0,0.184,138.339,2,Upbeat Happy Songs
10M2Ex445zw585Ducldzkw,0.607,0.536,0.386,0.0,0.436,147.992,2,Upbeat Happy Songs
2ZTCl6wQMDSMfY4s8GHZdj,0.607,0.281,0.733,0.000123,0.468,134.977,2,Upbeat Happy Songs
0j35X8cTq543QDYLOyqB8W,0.732,0.243,0.939,0.0,0.106,102.087,2,Upbeat Happy Songs
2Nq87hLQ4cUKNQTdpnnaRr,0.732,0.539,0.486,3.59e-06,0.398,138.004,2,Upbeat Happy Songs
5DqdesEfbRyOlSS3Tf6c29,0.732,0.463,0.374,0.0,0.397,95.971,2,Upbeat Happy Songs
6aYCAtLtW1QOMhHKnQvAfr,0.244,0.627,0.205,0.0,0.137,52.63,2,Upbeat Happy Songs
4OwUzSEXxSZXpCfdjKGzpD,0.363,0.252,0.542,0.00589,0.106,159.769,2,Upbeat Happy Songs
5ef3mAxAAjk93V6IpriOrz,0.363,0.408,0.185,2.94e-06,0.271,87.335,2,Upbeat Happy Songs
4BGZF4oLbTL0pWm7C18pbv,0.488,0.498,0.131,0.0,0.198,87.419,2,Upbeat Happy Songs
0ITpSCNjLUPmDvUYJG2tG6,0.488,0.445,0.608,3.69e-05,0.246,70.084,2,Upbeat Happy Songs
3zPgAKn5tbmCuCKrR3r7qE,0.488,0.389,0.796,0.0,0.387,94.042,2,Upbeat Happy Songs
5vuMtXS5kQ7F0o9V9rG1dG,0.488,0.637,0.265,0.0,0.23,88.865,2,Upbeat Happy Songs
5PVqGDjrL3AzbgRbqwIieC,0.601,0.485,0.298,0.000217,0.437,132.892,2,Upbeat Happy Songs
73qMN9bXy7MSPwwGfH3wQr,0.601,0.406,0.622,9.19e-05,0.232,130.059,2,Upbeat Happy Songs
7eJMfftS33KTjuF7lTsMCx,0.726,0.431,0.731,0.0,0.348,144.026,2,Upbeat Happy Songs
0mehSdTadpXbHAWTrnrIXO,0.726,0.411,0.438,0.0,0.734,137.905,2,Upbeat Happy Songs
2onNmw7lzEoDRXl46jDO5O,0.36,0.418,0.477,8.92e-06,0.33,137.803,2,Upbeat Happy Songs
5QvBXUm5MglLJ3iBfTX2Wo,0.36,0.391,0.296,0.000406,0.162,84.281,2,Upbeat Happy Songs
1B17jo7XD3lJ9AtrdE9kUd,0.36,0.333,0.335,1.09e-06,0.17,74.53,2,Upbeat Happy Songs
00HWHVerv16snyQSRrfVWT,0.36,0.357,0.846,0.0,0.21,68.757,2,Upbeat Happy Songs
1kFBLqkTuNKlspkJ1EOGjN,0.485,0.306,0.794,0.0,0.224,203.729,2,Upbeat Happy Songs
3hlGuz3loYoLfI3bpwieWq,0.485,0.562,0.717,0.0,0.297,105.953,2,Upbeat Happy Songs
3sGfVqsXBflIQEbRhyztWC,0.485,0.169,0.792,0.00689,0.232,98.373,2,Upbeat Happy Songs
6GGtHZgBycCgGBUhZo81xe,0.485,0.348,0.678,0.167,0.145,99.898,2,Upbeat Happy Songs
4C8N0DioyIMwucrkh66uhG,0.485,0.507,0.857,0.937,0.564,81.675,2,Upbeat Happy Songs
3hxIUxnT27p5WcmjGUXNwx,0.485,0.409,0.325,0.0,0.376,138.419,2,Upbeat Happy Songs
773hekg7UEdbGvv3lJ3CmV,0.485,0.441,0.466,0.000936,0.511,140.009,2,Upbeat Happy Songs
2ST72jD2KVe7f3fbcGyX1b,0.485,0.567,0.316,0.0,0.157,93.676,2,Upbeat Happy Songs
67aaFVnfvFWjxVQMd0jDb5,0.595,0.41,0.776,4.27e-06,0.141,83.308,2,Upbeat Happy Songs
5kNe7PE09d6Kvw5pAsx23n,0.595,0.389,0.418,1.39e-06,0.4,166.049,2,Upbeat Happy Songs
1MTQHCpraD4S8g5PAFKzoj,0.595,0.489,0.497,0.0,0.0902,120.312,2,Upbeat Happy Songs
3MWlVSkoLS1e66nlZ2tuWJ,0.595,0.416,0.536,0.0,0.185,74.556,2,Upbeat Happy Songs
1kIzhTj2kFjlUAWoqFEJTi,0.72,0.48,0.499,0.0,0.67,127.993,2,Upbeat Happy Songs
5InOp6q2vvx0fShv3bzFLZ,0.72,0.412,0.196,0.0,0.179,114.408,2,Upbeat Happy Songs
07o5JbRuDi5ir7rhsOi0ap,0.357,0.639,0.418,0.0,0.344,80.896,2,Upbeat Happy Songs
4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,0.584,0.0,0.27,102.078,2,Upbeat Happy Songs
7LkQBDAiS0GVSO5JQuYDzY,0.357,0.302,0.869,0.0,0.376,122.622,2,Upbeat Happy Songs
1n4jwRVXdkK2U34nBDUKKT,0.357,0.238,0.142,0.0859,0.494,156.907,2,Upbeat Happy Songs
2ZTYlnhhV1UAReg7wIGolx,0.482,0.361,0.832,4.28e-06,0.306,171.665,2,Upbeat Happy Songs
39JRmdKFka1Oe09FoOCPI4,0.482,0.618,0.647,0.000859,0.146,90.076,2,Upbeat Happy Songs
1MksGqIztTT6M9R1ErKVs8,0.482,0.781,0.629,3e-06,0.336,57.967,2,Upbeat Happy Songs
2qYIdNaktgtpaPHxDVMXbE,0.482,0.542,0.545,0.0,0.39,83.12,2,Upbeat Happy Songs
1Hy3tvcg6l5o4codLnOC8f,0.589,0.279,0.129,0.0192,0.212,74.847,2,Upbeat Happy Songs
5pcjystBtalYeqaiXCcgEY,0.589,0.496,0.818,0.0,0.44,142.731,2,Upbeat Happy Songs
7maV3I3KQNYpsOWYTOhGqn,0.589,0.587,0.598,0.0,0.38,147.897,2,Upbeat Happy Songs
7LwJG5mCWzQAz1tZr2FZ4D,0.589,0.383,0.676,0.0,0.162,137.72,2,Upbeat Happy Songs
