danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.595,0.41,0.776,4.27e-06,0.141,83.308,2,Upbeat Happy Songs
0.595,0.389,0.418,1.39e-06,0.4,166.049,2,Upbeat Happy Songs
0.595,0.489,0.497,0.0,0.0902,120.312,2,Upbeat Happy Songs
0.595,0.416,0.536,0.0,0.185,74.556,2,Upbeat Happy Songs
0.72,0.48,0.499,0.0,0.67,127.993,2,Upbeat Happy Songs
0.72,0.412,0.196,0.0,0.179,114.408,2,Upbeat Happy Songs
0.357,0.639,0.418,0.0,0.344,80.896,2,Upbeat Happy Songs
0.357,0.425,0.584,0.0,0.27,102.078,2,Upbeat Happy Songs
0.357,0.302,0.869,0.0,0.376,122.622,2,Upbeat Happy Songs
0.357,0.238,0.142,0.0859,0.494,156.907,2,Upbeat Happy Songs
0.482,0.361,0.832,4.28e-06,0.306,171.665,2,Upbeat Happy Songs
0.482,0.618,0.647,0.000859,0.146,90.076,2,Upbeat Happy Songs
0.482,0.781,0.629,3e-06,0.336,57.967,2,Upbeat Happy Songs
0.482,0.542,0.545,0.0,0.39,83.12,2,Upbeat Happy Songs
0.589,0.279,0.129,0.0192,0.212,74.847,2,Upbeat Happy Songs
0.589,0.496,0.818,0.0,0.44,142.731,2,Upbeat Happy Songs
0.589,0.587,0.598,0.0,0.38,147.897,2,Upbeat Happy Songs
0.589,0.383,0.676,0.0,0.162,137.72,2,Upbeat Happy Songs
0.589,0.242,0.914,0.0,0.257,89.749,2,Upbeat Happy Songs
0.714,0.305,0.819,0.0,0.554,124.91,2,Upbeat Happy Songs
0.839,0.216,0.725,0.0,0.242,43.084,2,Upbeat Happy Songs
0.354,0.411,0.815,0.0,0.43,90.813,2,Upbeat Happy Songs
0.479,0.802,0.55,0.00045,0.602,74.98,2,Upbeat Happy Songs
0.479,0.545,0.365,0.0,0.243,74.897,2,Upbeat Happy Songs
0.479,0.61,0.825,0.0,0.181,92.531,2,Upbeat Happy Songs
0.583,0.351,0.494,0.0,0.462,79.014,2,Upbeat Happy Songs
0.583,0.481,0.264,0.0,0.172,98.909,2,Upbeat Happy Songs
0.583,0.43,0.801,0.0,0.367,84.967,2,Upbeat Happy Songs
0.583,0.355,0.661,0.165,0.635,93.284,2,Upbeat Happy Songs
0.583,0.444,0.593,0.0,0.167,119.59,2,Upbeat Happy Songs
0.583,0.499,0.591,0.0104,0.342,155.199,2,Upbeat Happy Songs
0.583,0.454,0.265,0.0,0.309,74.64,2,Upbeat Happy Songs
0.708,0.449,0.451,0.0,0.63,84.396,2,Upbeat Happy Songs
0.708,0.673,0.499,0.000233,0.311,136.969,2,Upbeat Happy Songs
0.708,0.186,0.868,0.0,0.322,72.541,2,Upbeat Happy Songs
0.708,0.547,0.727,0.0,0.549,83.8,2,Upbeat Happy Songs
0.351,0.362,0.701,4.52e-06,0.151,115.135,2,Upbeat Happy Songs
0.351,0.593,0.678,5.54e-05,0.358,92.263,2,Upbeat Happy Songs
0.351,0.296,0.934,0.0,0.12,115.284,2,Upbeat Happy Songs
0.351,0.456,0.476,0.0,0.519,86.374,2,Upbeat Happy Songs
0.476,0.386,0.791,0.000423,0.158,138.265,2,Upbeat Happy Songs
0.476,0.406,0.24,0.0,0.12,136.947,2,Upbeat Happy Songs
0.476,0.192,0.716,0.0,0.201,93.709,2,Upbeat Happy Songs
0.476,0.161,0.967,0.0381,0.0908,119.614,2,Upbeat Happy Songs
0.476,0.189,0.904,4.52e-06,0.324,115.851,2,Upbeat Happy Songs
0.476,0.00343,0.995,0.873,0.402,59.113,2,Upbeat Happy Songs
0.577,0.657,0.697,3.2e-06,0.437,180.727,2,Upbeat Happy Songs
0.577,0.578,0.547,0.59,0.367,84.963,2,Upbeat Happy Songs
0.577,0.749,0.599,0.0115,0.255,130.97,2,Upbeat Happy Songs
0.577,0.336,0.804,0.0,0.154,95.927,2,Upbeat Happy Songs
0.577,0.527,0.563,0.000191,0.228,96.101,2,Upbeat Happy Songs
0.577,0.385,0.371,0.0,0.331,95.82,2,Upbeat Happy Songs
0.577,0.349,0.425,0.0,0.131,124.01,2,Upbeat Happy Songs
0.702,0.691,0.659,0.0,0.146,84.253,2,Upbeat Happy Songs
0.702,0.53,0.679,0.0,0.319,112.036,2,Upbeat Happy Songs
0.702,0.514,0.129,0.0,0.133,76.982,2,Upbeat Happy Songs
0.702,0.525,0.376,0.0667,0.515,113.856,2,Upbeat Happy Songs
0.702,0.52,0.435,0.0,0.467,120.005,2,Upbeat Happy Songs
0.348,0.717,0.311,0.0,0.28,66.21,2,Upbeat Happy Songs
0.348,0.532,0.592,0.0,0.148,129.297,2,Upbeat Happy Songs
0.348,0.45,0.658,3.47e-06,0.497,178.65,2,Upbeat Happy Songs
0.473,0.449,0.796,0.000244,0.27,138.859,2,Upbeat Happy Songs
0.473,0.348,0.721,7.42e-05,0.283,107.819,2,Upbeat Happy Songs
0.473,0.53,0.812,6.92e-06,0.637,74.732,2,Upbeat Happy Songs
0.473,0.203,0.941,0.0,0.419,168.884,2,Upbeat Happy Songs
0.473,0.579,0.214,0.0,0.255,73.942,2,Upbeat Happy Songs
0.473,0.824,0.482,0.0,0.374,77.888,2,Upbeat Happy Songs
0.473,0.493,0.452,0.0,0.465,129.685,2,Upbeat Happy Songs
0.571,0.438,0.534,1.56e-05,0.444,145.948,2,Upbeat Happy Songs
0.571,0.544,0.453,0.00805,0.216,132.052,2,Upbeat Happy Songs
0.571,0.629,0.593,0.000133,0.308,127.907,2,Upbeat Happy Songs
0.571,0.547,0.704,0.0,0.768,175.933,2,Upbeat Happy Songs
0.571,0.307,0.649,0.0,0.108,83.72,2,Upbeat Happy Songs
0.696,0.39,0.447,1.55e-05,0.395,120.032,2,Upbeat Happy Songs
0.696,0.409,0.354,0.0,0.0962,84.652,2,Upbeat Happy Songs
0.696,0.454,0.123,0.0,0.136,92.928,2,Upbeat Happy Songs
0.821,0.434,0.434,0.0,0.241,120.012,2,Upbeat Happy Songs
0.47,0.494,0.302,0.0,0.0524,144.039,2,Upbeat Happy Songs
0.47,0.684,0.859,2.78e-05,0.677,81.076,2,Upbeat Happy Songs
0.565,0.243,0.758,8.82e-06,0.239,81.655,2,Upbeat Happy Songs
0.565,0.531,0.375,0.0,0.407,146.027,2,Upbeat Happy Songs
0.565,0.558,0.379,0.0,0.0778,82.998,2,Upbeat Happy Songs
0.565,0.245,0.781,0.0,0.307,75.055,2,Upbeat Happy Songs
0.565,0.56,0.538,0.0,0.325,159.931,2,Upbeat Happy Songs
0.565,0.5,0.452,0.0,0.242,70.984,2,Upbeat Happy Songs
0.565,0.453,0.252,0.000273,0.28,126.034,2,Upbeat Happy Songs
0.565,0.541,0.193,3.54e-06,0.225,82.006,2,Upbeat Happy Songs
0.565,0.449,0.341,1.31e-05,0.119,134.039,2,Upbeat Happy Songs
0.69,0.188,0.897,0.0,0.736,78.043,2,Upbeat Happy Songs
0.69,0.44,0.473,0.0203,0.476,120.004,2,Upbeat Happy Songs
0.69,0.29,0.676,0.0,0.42,95.976,2,Upbeat Happy Songs
0.69,0.482,0.523,0.0004,0.356,100.029,2,Upbeat Happy Songs
0.69,0.416,0.617,1.37e-06,0.479,82.45,2,Upbeat Happy Songs
0.69,0.462,0.343,0.00218,0.325,157.655,2,Upbeat Happy Songs
0.342,0.376,0.805,0.0,0.29,176.859,2,Upbeat Happy Songs
0.342,0.396,0.549,0.0,0.109,136.19,2,Upbeat Happy Songs
0.342,0.249,0.87,5.09e-05,0.203,94.746,2,Upbeat Happy Songs
0.467,0.445,0.628,0.0,0.344,128.399,2,Upbeat Happy Songs
0.467,0.195,0.924,0.0,0.288,75.896,2,Upbeat Happy Songs
0.467,0.247,0.612,0.000271,0.126,148.101,2,Upbeat Happy Songs
0.467,0.492,0.234,0.0,0.156,74.945,2,Upbeat Happy Songs
0.467,0.41,0.152,2.96e-06,0.382,100.504,2,Upbeat Happy Songs
0.559,0.373,0.898,0.0,0.684,103.786,2,Upbeat Happy Songs
0.559,0.535,0.719,0.000143,0.402,141.96,2,Upbeat Happy Songs
0.559,0.499,0.725,0.179,0.773,151.423,2,Upbeat Happy Songs
0.559,0.513,0.268,1.65e-05,0.159,86.002,2,Upbeat Happy Songs
0.559,0.31,0.881,0.0,0.46,119.845,2,Upbeat Happy Songs
0.559,0.716,0.737,0.0,0.504,176.618,2,Upbeat Happy Songs
0.559,0.334,0.87,0.0,0.211,122.079,2,Upbeat Happy Songs
0.684,0.339,0.867,0.0,0.572,125.054,2,Upbeat Happy Songs
0.684,0.449,0.869,0.0,0.341,66.165,2,Upbeat Happy Songs
0.809,0.545,0.392,0.0,0.244,97.008,2,Upbeat Happy Songs
0.339,0.214,0.908,7.47e-06,0.363,94.775,2,Upbeat Happy Songs
0.339,0.273,0.729,0.0,0.304,96.804,2,Upbeat Happy Songs
0.339,0.492,0.829,0.00377,0.102,151.865,2,Upbeat Happy Songs
0.464,0.328,0.737,0.0,0.282,79.879,2,Upbeat Happy Songs
0.464,0.321,0.877,0.0,0.306,93.528,2,Upbeat Happy Songs
0.464,0.494,0.837,0.0,0.456,123.247,2,Upbeat Happy Songs
0.464,0.417,0.421,0.000202,0.172,120.049,2,Upbeat Happy Songs
0.553,0.476,0.647,0.0,0.558,113.401,2,Upbeat Happy Songs
0.553,0.413,0.687,2.33e-06,0.379,110.107,2,Upbeat Happy Songs
0.553,0.48,0.597,0.00586,0.456,173.009,2,Upbeat Happy Songs
0.553,0.202,0.87,0.000981,0.145,157.579,2,Upbeat Happy Songs
0.553,0.586,0.697,0.0,0.443,126.684,2,Upbeat Happy Songs
0.678,0.357,0.675,0.00569,0.0661,113.301,2,Upbeat Happy Songs
0.678,0.533,0.462,0.219,0.323,150.455,2,Upbeat Happy Songs
0.678,0.484,0.529,2.01e-05,0.493,82.004,2,Upbeat Happy Songs
0.678,0.403,0.326,3.67e-06,0.528,127.997,2,Upbeat Happy Songs
0.678,0.264,0.753,0.0,0.528,121.722,2,Upbeat Happy Songs
0.678,0.355,0.759,7.06e-05,0.438,119.772,2,Upbeat Happy Songs
0.678,0.497,0.129,0.0,0.225,77.471,2,Upbeat Happy Songs
0.678,0.484,0.735,0.0,0.219,190.04,2,Upbeat Happy Songs
0.928,0.355,0.16,0.000329,0.0715,120.042,2,Upbeat Happy Songs
0.168,0.404,0.718,0.000286,0.0676,79.912,2,Upbeat Happy Songs
0.336,0.161,0.968,0.00011,0.407,176.48,2,Upbeat Happy Songs
0.336,0.17,0.957,0.661,0.102,140.481,2,Upbeat Happy Songs
