track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
4OMJGnvZfDvsePyCwRGO7X,0.744,0.789,0.0036,0.00144,0.866,116.985,0,Energetic Dance Tracks
4eXPHUMhVBynyIRNZEn4G2,0.744,0.9,0.22,0.0,0.747,109.588,0,Energetic Dance Tracks
4JPCdSaqs9dJd7RatFSHww,0.744,0.697,0.0106,0.0,0.767,149.28,0,Energetic Dance Tracks
1KSqYYJFyfTecXFk9M0prc,0.744,0.859,0.0256,6.27e-05,0.787,91.977,0,Energetic Dance Tracks
1hB3M3POeKMLxcEFEvPeqU,0.744,0.495,0.0216,0.0,0.128,83.51,0,Energetic Dance Tracks
5bH5uk3A1Y9Aky75Akkdvg,0.744,0.775,0.0267,0.0,0.649,106.093,0,Energetic Dance Tracks
4Ulh0OzG7AsYQif69JtIgS,0.744,0.738,0.132,1.12e-06,0.478,100.002,0,Energetic Dance Tracks
6giYNaycmjkbf7UmZ6RGtL,0.744,0.368,0.0702,0.0,0.391,84.018,0,Energetic Dance Tracks
69vlMrzHwATKzupwNcUPyK,0.744,0.868,0.0326,0.0,0.586,93.037,0,Energetic Dance Tracks
1H5tvpoApNDxvxDexoaAUo,0.869,0.887,0.0605,0.0,0.784,129.223,0,Energetic Dance Tracks
61s24wRVyG7NP9m7EjdDKL,0.869,0.794,0.0303,3.81e-06,0.656,128.021,0,Energetic Dance Tracks
1AT4xjNarTswd0UZ5FlmKF,0.869,0.385,0.135,0.0,0.596,149.897,0,Energetic Dance Tracks
1qYKWcEOrh2tM8PlgIm8K1,0.869,0.555,0.137,0.0,0.738,112.003,0,Energetic Dance Tracks
3SfqAvcloZcg65r9Si6ziJ,0.869,0.505,0.0793,0.0,0.787,120.021,0,Energetic Dance Tracks
779jpZikRmH99DiSVpwCHD,0.869,0.718,0.00784,0.0,0.347,101.891,0,Energetic Dance Tracks
5WHAySW7mtAKHsaUh9N1Rr,0.869,0.555,0.0883,0.0,0.922,95.177,0,Energetic Dance Tracks
7GEidxhfGNteiW9n0kLyxH,0.869,0.626,0.0754,0.0,0.316,131.075,0,Energetic Dance Tracks
4hanO6Du5J7QEguNHYZHmw,0.869,0.59,0.07,0.0,0.479,107.934,0,Energetic Dance Tracks
0JZUiKHoEDpsLvXfeqbZxV,0.869,0.568,0.0759,0.00344,0.394,111.994,0,Energetic Dance Tracks
3mEV5HCSzchjEG5NwLC0IR,0.869,0.616,0.0254,0.0,0.342,145.824,0,Energetic Dance Tracks
6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,0.356,0.00125,0.511,90.02,0,Energetic Dance Tracks
