track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
7Jc01x8pxVqgVGxn5jrwui,0.619,0.622,0.0935,0.0,0.194,150.062,1,Relaxing Acoustic Tunes
1IYaMVfidzSfvCUZYXhsU1,0.619,0.709,0.00541,0.0,0.68,144.972,1,Relaxing Acoustic Tunes
0H8XeaJunhvpBdBFIYi6Sh,0.619,0.69,0.0931,0.0,0.333,133.932,1,Relaxing Acoustic Tunes
0B6hj1IxHLIAhVBxt828KY,0.619,0.87,0.000288,0.802,0.458,121.962,1,Relaxing Acoustic Tunes
6F55MQrSDrsmsTH50WCGrk,0.619,0.888,0.011,0.0,0.441,124.029,1,Relaxing Acoustic Tunes
3Tj1luJyKPQt7WbrqpJ2Az,0.619,0.972,0.13,0.0,0.584,169.04,1,Relaxing Acoustic Tunes
0D5CXSUx8GOCHSY8KWgi9h,0.619,0.799,0.17,0.0,0.709,156.158,1,Relaxing Acoustic Tunes
1pDbGAAH5GQ8U0KG4fI77H,0.619,0.606,0.0268,0.0,0.0669,140.023,1,Relaxing Acoustic Tunes
1wqD0VFqv9N8bmI2olRhJt,0.619,0.784,0.0326,2.85e-06,0.471,156.035,1,Relaxing Acoustic Tunes
6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,0.0295,0.0,0.0692,130.045,1,Relaxing Acoustic Tunes
3k4CoiIQXiNBrwrmbBMDxj,0.744,0.577,0.0672,3.06e-06,0.0805,135.869,1,Relaxing Acoustic Tunes
6rbhWExtuchhpLC5fHnB8n,0.744,0.672,0.187,0.000123,0.266,140.891,1,Relaxing Acoustic Tunes
6HfOzLLjsaXsehIFEsrxTk,0.744,0.687,0.155,0.0,0.283,143.936,1,Relaxing Acoustic Tunes
3xIzkKqp7oe37NEVrcPjGS,0.744,0.422,0.0319,0.00011,0.493,180.006,1,Relaxing Acoustic Tunes
7pa2J8FSpn0Jg0FLKj9NV1,0.369,0.567,0.112,5.12e-06,0.34,125.991,1,Relaxing Acoustic Tunes
1J3UaZHMc5FooGjz2JUWzs,0.369,0.971,0.15,0.00261,0.758,114.049,1,Relaxing Acoustic Tunes
3k6L0H08zSY5yRDgqI8fqx,0.369,0.996,3.83e-05,0.14,0.209,98.162,1,Relaxing Acoustic Tunes
1uVRIEqMTtnbcxZocYDJRH,0.369,0.528,0.307,0.0,0.336,153.898,1,Relaxing Acoustic Tunes
